corrected_tweet,class
as a woman you shouldn't complain about cleaning up your house amp as a man you should always take they trash out,2
boy date coldtyga own bad for coffin dat hoe in they st place,1
dawn you ever fuck a bitch and she start to cry you be confused as shit,1
she look like a granny,1
they shit you hear about me might be true or it might be faker than they bitch who told it to a,1
they shit just blows reclaim you so faithful and down for somebody but still fucking with hoes,1
i can not just sit up and hate on another bitch i got too much shit going on,1
cause in tired of you big bitches coming for us skinny girls,1
amp you might not get a bitch back amp that that,1
hobbies include fighting maria bitch,1
weeks is a bitch she curves everyone low i walked into a conversation like this sch,1
munda gang bitch its gang land,1
so hoes that smoke are losers yea go on in,1
bad bitches is they only thing that i like,1
bitch get up off me,1
bitch nigga miss me with it,1
bitch ply whatever,1
bitch who do you love,1
bitches get cut off everyday a,1
black bottle amp a bad bitch,1
broke bitch cant tell me nothing,1
cancel that bitch like nine,1
cant you see these hoes wont change,1
fuck no that bitch done even suck dick they kermit videos bout to fuck in up,1
got a bitch tip toeing on my hardwood floors,1
her pussy lips like heaven doors,1
hoe what its hitting for,1
i met that pussy on ocean or i gave that pussy a pill,1
i need a grippy bitch who fuck on hennessy,1
i spend my money how i want bitch its my business,1
i text my old bitch my new bitch pussy wetter,1
id say in back to they old me but my old bitches would get excited,1
if you int bout that murder game pussy nigga shut up,1
if your toes int done you pussy stinks,1
in done with bitter bitches its a wrap for that if you a angry bird there a app for that,1
is that a bitch,1
it int nothing to cut a bitch off,1
jus meet son now he a mane ass bitches shots,1
lames crying over hoes that tears of a clown,1
like snoop said in we done love these hoes,1
mommy said no pussy cats inside my doghouse,2
most hated but they hoes favourite my sevenone,1
nice girls bad make me get naughty bad yellow hoe real nice body down south chick like pm real thick,1
pimps up pimps up hoes down future voice,1
post a picture of that pussy get likes,1
pussy is a powerful drug happyhumpday,1
quick piece of pussy call it a drive by,1
running round here like some brand new pussy that bout to get fucked,1
these bitches even worst they'll send them guys for you,1
these hoes like niggas that spend money not talk bout it,1
we done trust these niggas all these bitches,1
all niggas a cuffing hoes cause all int never have bitches,1
you dodge a bullet all a bitches i cut off pregnant or bound to be thank god,1
young pill chamberlain these bitches love my music,1
deanna trump probably cleaner than most of these twitter hoes but,1
gay niggas couldn't wait to act like bitches tonight,1
and mia steal his cat a replace it with a pinball he a bitch you should do it,1
amp hes gone always be a hoe,1
son of a bitch took my tic tags i like this movie,1
all i wanna do is get money and fuck model bitches russell simmons,1
i probably wouldn't mind school as much if we didst have to deal with bitch ass teachers between,1
in a fucking fag they said,1
females think dating a pussy is cute now how does doing this stuff make him a pussy,1
simplyaddictedtoguys woof woof hot sally lad,2
have a ever asked your bitch for other bitches kane voice yes,1
how a gone bring or side bitch to a game where you know a of friends at i swear,1
woof woof and hot soles,2
lemme eat a oreo amp do these dishes one oreo low,2
bitch fuck a maybe you'll get better just,1
fuck red malone man bitch ass nigga could you please use complete sentences,1
why they eggplant emo does he say she looked like scream lao,2
hennessy venom it that one sexy bitch,1
him see me pussy wetter then a shower curtainahmesehwetnessltlmao,1
eaglesnation and every eagles need to see that pic i just posted because that bitch just said they most racist shit,1
to fuck skateboarding all all some wood pushing faggots man ball is life,1
baby monkey bathtime a this is soon adorable,2
i int shit damn skippy low,1
