hate_speech,offensive_language,neither,class,tweet,tweet_cleaned
0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,woman not complain clean house amp man trash
0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,boy dat coldtyga dwn bad cuffin dat hoe st place
0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,dawg    fuck bitch start cry confuse shit
0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,look like tranny
0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shit hear true faker bitch tell ya
1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow meclaim faithful somebody fuck hoe
0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit HATE bitch   get shit go
0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause m tired big bitch come skinny girl
0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp ya bitch amp s
1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch","hobby include fight Mariam 

 bitch"
0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",Keeks bitch curve   lol walk conversation like smh
0,3,0,1,""" Murda Gang bitch its Gang Land """,Murda Gang bitch Gang land
0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser    yea   IG
0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing like
1,2,0,1,""" bitch get up off me """,bitch
0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
0,3,0,1,""" bitch plz whatever """,bitch plz
1,2,0,1,""" bitch who do you love """,bitch love
0,3,0,1,""" bitches get cut off everyday B """,bitch cut everyday b
0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
0,3,0,1,""" broke bitch cant tell me nothing """,break bitch not tell
0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like Nino
0,3,0,1,""" cant you see these hoes wont change """,not hoe will not change
0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch not suck dick    Kermit video bout fuck IG
0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",get ya bitch tip toe hardwood floor
0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lip like Heaven door
0,3,0,1,""" hoe what its hitting for """,hoe hit
0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",meet pussy Ocean Dr   give pussy pill
0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck Hennessy
0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",d m old old bitch excited
0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,be not bout Murder Game pussy nigga shut
0,3,0,1,""" if you're toes ain't done you pussy stinks """,toe be not pussy stink
0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,m bitter bitch wrap   angry bird s app
0,3,0,1,""" is that ya bitch """,ya bitch
0,3,0,1,""" it aint nothing to cut a bitch off """,be not cut bitch
0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane ass bitch
0,2,1,1,""" lames crying over hoes thats tears of a clown """,lame cry hoe s tear clown
0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like Snoop say   not love hoe
0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma say pussy cat inside doghouse
0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hate hoe favorite
0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad naughty bad yello hoe real nice body south chick like em real thick
0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe   future voice
0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy   like
0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug
0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy drive
0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,run round like brand new pussy s bout fuck
0,3,0,1,""" these bitches even worst they'll send them guys for you """,bitch bad ll send guy
1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,hoe like niggas spend money talk bout
1,2,0,1,""" we dont trust these niggas all these bitches """,not trust niggas bitch
0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,you niggas b cuffing hoe cause you be not bitch
0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet     da bitch cut pregnant bind thank God
0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill Chamberlain bitch love music
0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",Teanna Trump probably clean twitter hoe
0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay niggas not wait act like bitch tonight
0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",m steal cat n replace pitbull      bitch
0,3,0,1,"""&amp; he's gone always be a hoe""",amp s go hoe
0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.","Son bitch take Tic Tacs 

 like movie"
0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna money fuck model bitch   Russell Simmons
0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",probably not mind school not deal bitch ass teacher retweet
0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",m fucking fag say
0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",female think date pussy cute   stuff pussy
0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",simplyaddictedtoguy   woof woof hot scally lad
0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",ya ask bitch bitch   kanye voice yes
0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",u gone bring ur bitch game know Ya gf friend    swear
0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof hot sol
0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",Lemmie eat Oreo amp dish oreo lol
0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck u   maybe ll well
1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",Fuck Red Malone man bitch ass niggah use complete sentence
0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",eggplant emoji doey look like scream lmao
