corrected_tweet,class,cleaned_text,synonym_replacement
as a woman you shouldn't complain about cleaning up your house amp as a man you should always take they trash out,2,as a woman you shouldnt complain about cleaning up your house amp as a man you should always take they trash out,as a woman you shouldnt complain about cleaning up your house amp as a man you should always take they trash out
boy date coldtyga own bad for coffin dat hoe in they st place,1,boy date coldtyga own bad for coffin dat hoe in they st place,boy date coldtyga own bad for coffin dat hoe inch they st place
dawn you ever fuck a bitch and she start to cry you be confused as shit,1,dawn you ever fuck a bitch and she start to cry you be confused as shit,dawn you ever fuck a bitch and she start to cry you be confused as shit
she look like a granny,1,she look like a granny,she look like a granny
they shit you hear about me might be true or it might be faker than they bitch who told it to a,1,they shit you hear about me might be true or it might be faker than they bitch who told it to a,they shit you hear about me might be true or it might be faker than they bitch who told it to a
they shit just blows reclaim you so faithful and down for somebody but still fucking with hoes,1,they shit just blows reclaim you so faithful and down for somebody but still fucking with hoes,they crap just blows reclaim you so faithful and down for somebody but still fucking with hoes
i can not just sit up and hate on another bitch i got too much shit going on,1,i can not just sit up and hate on another bitch i got too much shit going on,i can not just sit up and hate on another bitch i got too much shit going on
cause in tired of you big bitches coming for us skinny girls,1,cause in tired of you big bitches coming for us skinny girls,cause in tired of you big bitches coming for us skinny girls
amp you might not get a bitch back amp that that,1,amp you might not get a bitch back amp that that,amp you might not get a bitch back amp that that
hobbies include fighting maria bitch,1,hobbies include fighting maria bitch,avocation include fighting maria bitch
weeks is a bitch she curves everyone low i walked into a conversation like this sch,1,weeks is a bitch she curves everyone low i walked into a conversation like this sch,weeks is a bitch she curves everyone low i walked into a conversation like this sch
munda gang bitch its gang land,1,munda gang bitch its gang land,munda gang bitch its gang land
so hoes that smoke are losers yea go on in,1,so hoes that smoke are losers yea go on in,so hoes that smoke are losers yea go on inch
bad bitches is they only thing that i like,1,bad bitches is they only thing that i like,bad bitches is they only thing that iodine like
bitch get up off me,1,bitch get up off me,bitch get up off me
bitch nigga miss me with it,1,bitch nigga miss me with it,bitch nigger miss me with it
bitch ply whatever,1,bitch ply whatever,bitch ply whatever
bitch who do you love,1,bitch who do you love,bitch who bash you love
bitches get cut off everyday a,1,bitches get cut off everyday a,bitches get cut murder everyday a
black bottle amp a bad bitch,1,black bottle amp a bad bitch,black bottle ampere a bad bitch
broke bitch cant tell me nothing,1,broke bitch cant tell me nothing,broke bitch cant tell me nothing
cancel that bitch like nine,1,cancel that bitch like nine,natural that bitch like nine
cant you see these hoes wont change,1,cant you see these hoes wont change,cant you see these hoes wont change
fuck no that bitch done even suck dick they kermit videos bout to fuck in up,1,fuck no that bitch done even suck dick they kermit videos bout to fuck in up,fuck no that bitch done even suck dick they kermit videos bout to fuck in up
