corrected_tweet,class
as woman you shouldnt about cleaning your house as a a man you always take the trash out,2
as a woman you shouldnt complain about cleaning up your house amp you man you should always take the trash you out,2
boy dats coldtyga dwn bad for cuffin dat hoe in the st place boy,1
boy dats coldtyga dwn bad for cuffin dat hoe in dats the st place,1
you fuck ever fuck a bitch and she start to cry you be confused as shit,1
dawg you ever fuck a bitch and she start to bitch cry you be confused as shit,1
she look like a tranny,1
she look a tranny,1
the shit you hear about me might be true or it might be who faker than the who told it to who ya,1
the you hear me might be true or it might be faker told than the bitch who told to ya,1
the shit just blows meclaim faithful you so faithful down for somebody still fucking with hoes,1
the shit just blows fucking meclaim you so faithful and down for somebody but still fucking with,1
i on can not just sit up and hate on another bitch i got much going on,1
i can not on sit and hate on another bitch i got too much shit going on,1
im tired of big you big bitches coming for skinny girls,1
cause im tired you big coming for you us skinny girls,1
amp you might not get ya amp bitch back amp thats,1
amp you might not get bitch back amp thats that bitch,1
hobbies include fighting mariam,1
hobbies include fighting mariam,1
is a bitch she curves everyone lol i walked into a conversation like this smh is,1
keeks is a bitch she curves everyone lol she i walked into a conversation this smh,1
murda gang bitch its gang land,1
murda gang bitch gang,1
so hoes that smoke are losers yea hoes go on ig,1
so hoes that are losers yea go on ig,1
bad is the only thing that i like,1
bad bitches is the only thing that i like,1
bitch up off me,1
bitch get up off me,1
bitch nigga me with it,1
bitch nigga miss me with,1
bitch plz whatever,1
bitch plz whatever,1
bitch who do you love,1
bitch who do love,1
bitches get cut off everyday b,1
bitches get cut off everyday b,1
black bottle amp a bad,1
black bottle amp a bitch,1
broke bitch cant tell me nothing,1
bitch cant me nothing,1
cancel that bitch like nino,1
cancel like nino,1
cant you see these hoes wont,1
cant you see these wont change,1
fuck that bitch dont even suck dick the kermit videos bout to fuck ig to,1
fuck no that bitch dont even the the kermit videos bout to fuck ig up,1
got ya bitch tip toeing on my hardwood floors,1
got ya bitch tip toeing on my hardwood floors,1
her lips like heaven doors,1
her pussy like heaven doors,1
hoe its hitting for,1
hoe what for,1
i met that pussy on dr ocean dr i that pussy a pill,1
